Suj;Explicaiblity;Satisfaction;Utilisability;Manip
37;Unguided;99.4792;92.1875;1
37;Guided;98.1771;95.5729;1
37;Unguided;95.5729;89.0625;1
37;Guided;92.9688;94.2708;1
37;Unguided;91.6667;94.7917;1
37;Guided;89.0625;92.9688;1
37;Unguided;87.7604;91.6667;1
38;Guided;72.1354;65.625;1
38;Unguided;65.625;44.7917;1
38;Guided;40.8854;33.0729;1
38;Unguided;78.6458;56.5104;1
38;Guided;63.0208;50;1
38;Unguided;44.7917;40.8854;1
38;Guided;61.7188;63.0208;1
38;Unguided;57.8125;43.4896;1
38;Guided;59.1146;74.7396;1
38;Unguided;55.2083;38.2813;1
38;Guided;47.3958;76.0417;1
38;Unguided;51.3021;38.2813;1
39;Guided;65.625;66.9271;1
39;Unguided;64.3229;63.0208;1
39;Guided;56.5104;60.4167;1
39;Unguided;50;39.5833;1
39;Guided;63.0208;61.7188;1
39;Unguided;44.7917;48.6979;1
39;Guided;48.6979;61.7188;1
39;Unguided;64.3229;72.1354;1
39;Guided;63.0208;70.8333;1
39;Unguided;73.4375;73.4375;1
39;Guided;64.3229;69.5313;1
39;Unguided;60.4167;60.4167;1
40;Guided;72.1354;50;1
40;Unguided;66.9271;61.7188;1
40;Guided;72.1354;60.4167;1
40;Unguided;78.6458;65.625;1
40;Guided;79.9479;68.2292;1
40;Unguided;76.0417;73.4375;1
40;Guided;85.1563;69.5313;1
40;Unguided;89.0625;79.9479;1
40;Guided;86.4583;68.2292;1
40;Unguided;91.6667;90.3646;1
40;Guided;78.6458;92.9688;1
40;Unguided;90.3646;90.3646;1
42;Guided;97.3958;96.875;1
42;Unguided;73.4375;96.875;1
42;Guided;94.2708;96.0938;1
42;Unguided;78.6458;87.7604;1
42;Guided;100;100;1
42;Unguided;79.9479;81.25;1
42;Guided;100;100;1
42;Unguided;100;100;1
42;Guided;98.1771;98.1771;1
42;Unguided;100;100;1
42;Guided;100;100;1
42;Unguided;98.1771;100;1
44;Guided;65.625;87.7604;1
44;Unguided;82.5521;76.0417;1
44;Guided;87.7604;96.0938;1
44;Unguided;98.6979;85.6771;1
44;Guided;59.6354;94.7917;1
44;Unguided;94.2708;98.6979;1
44;Guided;80;81;1
44;Unguided;71.25;73.4375;1
44;Guided;92.1354;57.8125;1
44;Unguided;81.25;31.7708;1
44;Guided;89.0625;96.875;1
44;Unguided;82.1875;23.9583;1
3;Guided;96.875;47.3958;2
3;Unguided;50;50;2
3;Guided;90.8854;50;2
3;Unguided;96.0938;96.875;2
3;Guided;92.9688;87.7604;2
3;Unguided;73.4375;98.1771;2
3;Guided;61.7188;69.5313;2
3;Unguided;35.6771;63.0208;2
3;Guided;48.6979;66.9271;2
3;Unguided;59.1146;55.2083;2
3;Guided;39.5833;59.1146;2
3;Unguided;65.625;60.4167;2
6;Guided;86.4583;12.2396;2
6;Unguided;77.3438;17.4479;2
6;Guided;89.0625;1.8229;2
6;Unguided;77.3438;1.8229;2
6;Guided;87.7604;0;2
6;Unguided;82.5521;3.125;2
6;Guided;94.2708;0;2
6;Unguided;96.0938;0;2
6;Guided;91.6667;4.4271;2
6;Unguided;92.1875;1.8229;2
6;Guided;97.3958;0;2
6;Unguided;93.4896;7.0313;2
7;Guided;82.5521;81.25;2
7;Unguided;79.9479;87.7604;2
7;Guided;78.6458;79.9479;2
7;Unguided;73.4375;91.6667;2
7;Guided;77.3438;73.4375;2
7;Unguided;79.9479;74.7396;2
7;Guided;81.25;81.25;2
7;Unguided;82.5521;79.9479;2
7;Guided;92.9688;86.4583;2
7;Unguided;76.0417;96.875;2
7;Guided;82.5521;96.875;2
7;Unguided;100;100;2
8;Guided;74.7396;85.1563;2
8;Unguided;33.0729;57.8125;2
8;Guided;70.8333;78.6458;2
8;Unguided;56.5104;66.9271;2
8;Guided;72.1354;77.3438;2
