NumSuj;NumBloc;Level of Automation;Difficulty;System Correctness;Latence (in s);Explicability;Subject Correctness;Temporal Binding;Decision Confidence
1;5;Forced;Easy;Correct;0.75;Guided;Correct;-250;8
1;5;Forced;Easy;Correct;0.25;Guided;Correct;250;8
1;5;Forced;Hard;Correct;1.25;Guided;Correct;-270;8
1;5;Free;Hard;Correct;0.75;Guided;Correct;-150;8
1;5;Forced;Easy;Correct;0.25;Guided;Correct;250;8
1;5;Forced;Easy;Correct;0.75;Guided;Correct;-150;8
1;5;Forced;Medium;Correct;0.25;Guided;Correct;400;8
1;5;Free;Hard;Correct;1.25;Guided;Correct;-450;8
1;5;Free;Medium;Correct;0.25;Guided;Correct;550;8
1;5;Free;Hard;Correct;0.75;Guided;Correct;-250;6
1;5;Free;Medium;Correct;1.25;Guided;Correct;-450;8
1;5;Free;Easy;Correct;0.25;Guided;Correct;150;8
1;5;Free;Easy;Correct;1.25;Guided;Correct;-650;8
1;5;Forced;Hard;Correct;0.25;Guided;Correct;150;8
1;5;Forced;Hard;Error;0.75;Guided;Error;-250;2
1;5;Free;Easy;Correct;0.25;Guided;Correct;450;8
1;5;Free;Medium;Correct;0.75;Guided;Correct;50;8
1;5;Forced;Hard;Error;0.25;Guided;Error;550;1
1;5;Forced;Hard;Correct;0.75;Guided;Correct;-150;8
1;5;Free;Medium;Correct;0.75;Guided;Correct;-50;8
1;5;Free;Easy;Correct;1.25;Guided;Correct;-550;8
1;5;Free;Easy;Correct;0.75;Guided;Correct;-150;8
1;5;Forced;Medium;Correct;1.25;Guided;Correct;-450;8
1;5;Free;Medium;Error;1.25;Guided;Correct;-550;8
1;5;Free;Hard;Correct;0.25;Guided;Correct;550;8
1;5;Forced;Easy;Correct;1.25;Guided;Correct;-350;8
1;5;Free;Easy;Correct;0.75;Guided;Correct;-50;8
1;5;Free;Medium;Correct;0.25;Guided;Correct;350;8
1;5;Free;Hard;Correct;0.25;Guided;Correct;150;8
1;6;Free;Easy;Correct;0.25;Unguided;Correct;-50;8
1;6;Forced;Hard;Correct;0.25;Unguided;Correct;50;8
1;6;Free;Hard;Correct;1.25;Unguided;Correct;-550;8
1;6;Free;Easy;Correct;1.25;Unguided;Correct;-50;8
1;6;Free;Medium;Correct;0.25;Unguided;Correct;750;8
1;6;Forced;Hard;Correct;0.75;Unguided;Correct;250;8
1;6;Forced;Easy;Correct;1.25;Unguided;Correct;-250;8
1;6;Free;Medium;Correct;1.25;Unguided;Correct;-450;8
1;6;Forced;Medium;Correct;1.25;Unguided;Correct;-450;8
1;6;Forced;Easy;Correct;0.75;Unguided;Correct;50;8
1;6;Free;Medium;Correct;0.25;Unguided;Correct;650;8
1;6;Free;Hard;Error;0.25;Unguided;Correct;650;8
1;6;Forced;Medium;Correct;0.75;Unguided;Correct;150;8
1;6;Forced;Medium;Correct;0.25;Unguided;Correct;650;8
1;6;Forced;Medium;Error;1.25;Unguided;Error;-50;1
1;6;Free;Easy;Correct;0.75;Unguided;Correct;50;8
1;6;Forced;Medium;Correct;0.25;Unguided;Correct;550;8
1;6;Free;Easy;Correct;1.25;Unguided;Correct;-50;8
1;6;Forced;Medium;Correct;0.75;Unguided;Correct;-450;8
1;6;Forced;Hard;Correct;1.25;Unguided;Correct;-250;8
1;6;Forced;Easy;Correct;0.25;Unguided;Correct;850;8
1;6;Free;Medium;Correct;1.25;Unguided;Correct;50;8
1;6;Forced;Hard;Error;1.25;Unguided;Error;-450;1
1;6;Free;Hard;Correct;1.25;Unguided;Correct;-350;8
1;6;Free;Medium;Correct;0.75;Unguided;Correct;-150;8
1;6;Forced;Easy;Correct;1.25;Unguided;Correct;-350;8
1;6;Forced;Easy;Correct;0.75;Unguided;Correct;150;8
1;6;Free;Easy;Correct;0.25;Unguided;Correct;350;8
1;6;Free;Hard;Correct;0.75;Unguided;Correct;-50;3
1;6;Forced;Easy;Correct;0.25;Unguided;Correct;550;8
1;6;Free;Easy;Correct;0.75;Unguided;Correct;-350;8
1;6;Free;Hard;Error;0.75;Unguided;Correct;50;3
1;6;Free;Medium;Correct;0.75;Unguided;Correct;-150;8
1;6;Forced;Hard;Correct;0.25;Unguided;Correct;50;8
1;6;Forced;Hard;Correct;0.75;Unguided;Correct;-450;8
1;6;Free;Hard;Correct;0.25;Unguided;Correct;150;8
1;7;Forced;Hard;Correct;0.25;Guided;Correct;150;8
1;7;Free;Medium;Correct;0.75;Guided;Correct;350;8
1;7;Forced;Easy;Correct;0.75;Guided;Correct;-250;8
1;7;Forced;Hard;Error;1.25;Guided;Error;-650;4
1;7;Forced;Medium;Correct;1.25;Guided;Correct;-50;8
1;7;Forced;Easy;Correct;0.25;Guided;Correct;50;8
1;7;Free;Hard;Correct;0.25;Guided;Error;50;3
1;7;Free;Hard;Correct;0.75;Guided;Correct;-51;8
1;7;Forced;Medium;Correct;0.25;Guided;Correct;250;8
1;7;Free;Medium;Correct;0.25;Guided;Correct;450;8
1;7;Free;Medium;Error;0.75;Guided;Correct;-150;4
1;7;Forced;Hard;Error;0.75;Guided;Error;-50;1
1;7;Forced;Hard;Correct;1.25;Guided;Correct;-550;5
1;7;Forced;Easy;Correct;0.75;Guided;Correct;50;8
1;7;Forced;Medium;Correct;1.25;Guided;Correct;-50;8
1;7;Free;Medium;Correct;1.25;Guided;Correct;-350;8
1;7;Forced;Medium;Correct;0.75;Guided;Correct;-350;8
1;7;Free;Medium;Correct;0.25;Guided;Correct;350;7
1;7;Forced;Easy;Correct;1.25;Guided;Correct;150;8
1;7;Free;Easy;Correct;0.75;Guided;Correct;150;8
1;7;Free;Easy;Correct;1.25;Guided;Correct;250;8
1;7;Free;Hard;Error;0.75;Guided;Error;-50;2
