Suj;Explicability;Satisfaction;Utilisability;Manip
37;Guided;66.9271;59.1146;2
37;Unguided;57.8125;42.1875;2
37;Guided;35.6771;69.5313;2
37;Unguided;36.9792;30.4688;2
38;Guided;91.6667;89.0625;2
38;Unguided;22.6563;16.1458;2
38;Guided;36.9792;40.8854;2
38;Unguided;57.8125;61.7188;2
38;Guided;73.4375;64.3229;2
38;Unguided;98.1771;91.6667;2
38;Guided;42.1875;66.9271;2
38;Unguided;56.5104;68.2292;2
38;Guided;42.1875;61.7188;2
38;Unguided;66.9271;74.7396;2
38;Guided;55.2083;39.5833;2
38;Unguided;69.5313;59.1146;2
39;Guided;65.625;53.9063;2
39;Unguided;64.3229;66.9271;2
39;Guided;56.5104;65.625;2
39;Unguided;68.2292;77.3438;2
39;Guided;79.9479;90.3646;2
39;Unguided;61.7188;52.6042;2
39;Guided;42.1875;66.9271;2
39;Unguided;56.5104;68.2292;2
39;Guided;42.1875;61.7188;2
39;Unguided;66.9271;74.7396;2
39;Guided;55.2083;39.5833;2
39;Unguided;69.5313;59.1146;2
