NumSuj;NumBloc;Level of Automation;Difficulty;System Correctness;Latence (in s);Explicability;Subject Correctness;Type of Control;Temporal Binding (in ms);Score of Control
1;4;Free;Easy;Correct;1.25;Unguided;Error;Felt;-580;5
1;4;Forced;Easy;Correct;0.25;Unguided;Correct;Felt;650;5
1;4;Free;Easy;Correct;0.25;Unguided;Error;Felt;950;4
1;4;Forced;Easy;Correct;0.25;Unguided;Correct;Felt;750;3
1;4;Forced;Hard;Error;0.75;Unguided;Error;Felt;750;6
1;4;Forced;Medium;Correct;0.75;Unguided;Correct;Felt;750;6
1;4;Free;Hard;Error;0.75;Unguided;Correct;Felt;-250;6
1;4;Free;Easy;Correct;0.75;Unguided;Error;Felt;-150;6
1;4;Forced;Easy;Correct;1.25;Unguided;Correct;Felt;-250;6
1;4;Free;Hard;Correct;0.25;Unguided;Correct;Felt;416;6
1;4;Forced;Hard;Correct;0.25;Unguided;Correct;Felt;450;4
1;4;Forced;Easy;Correct;1.25;Unguided;Correct;Felt;-800;6
1;4;Forced;Hard;Correct;1.25;Unguided;Correct;Felt;-50;7
1;4;Forced;Easy;Correct;0.75;Unguided;Correct;Felt;550;6
1;4;Free;Hard;Correct;0.25;Unguided;Error;Felt;1194;5
1;5;Free;Easy;Correct;0.25;Guided;Correct;Used;550;6
1;5;Free;Medium;Correct;0.25;Guided;Correct;Used;250;5
1;5;Forced;Medium;Correct;0.75;Guided;Correct;Used;140;6
1;5;Forced;Easy;Correct;0.25;Guided;Correct;Used;749;5
1;5;Free;Easy;Correct;1.25;Guided;Correct;Used;-690;6
1;5;Free;Hard;Error;0.25;Guided;Error;Used;526;6
1;5;Forced;Hard;Correct;1.25;Guided;Correct;Used;-695;5
1;5;Free;Medium;Correct;0.75;Guided;Correct;Used;140;6
1;5;Forced;Medium;Correct;0.25;Guided;Correct;Used;950;4
1;5;Free;Medium;Correct;0.75;Guided;Correct;Used;450;7
1;5;Free;Medium;Correct;0.25;Guided;Correct;Used;1250;8
1;5;Free;Hard;Correct;1.25;Guided;Correct;Used;-583;8
1;5;Forced;Easy;Correct;1.25;Guided;Correct;Used;-50;8
1;5;Forced;Easy;Correct;0.75;Guided;Correct;Used;550;8
1;5;Forced;Easy;Correct;0.25;Guided;Correct;Used;982;6
1;5;Forced;Hard;Correct;0.75;Guided;Correct;Used;750;7
1;5;Forced;Hard;Correct;0.75;Guided;Correct;Used;750;5
1;5;Free;Hard;Error;1.25;Guided;Error;Used;50;6
1;5;Forced;Hard;Correct;1.25;Guided;Correct;Used;-350;6
1;5;Forced;Medium;Correct;0.75;Guided;Correct;Used;129;6
1;5;Free;Medium;Correct;1.25;Guided;Correct;Used;250;5
1;5;Free;Hard;Correct;0.75;Guided;Correct;Used;550;5
1;5;Free;Medium;Correct;1.25;Guided;Correct;Used;-16;5
1;5;Forced;Hard;Correct;0.25;Guided;Correct;Used;-100;6
1;5;Free;Easy;Correct;0.75;Guided;Correct;Used;549;5
1;5;Free;Hard;Correct;0.75;Guided;Correct;Used;472;5
1;5;Forced;Hard;Error;0.25;Guided;Error;Used;1250;5
1;5;Free;Hard;Correct;0.25;Guided;Correct;Used;751;5
1;5;Free;Easy;Correct;0.75;Guided;Correct;Used;590;5
1;5;Forced;Medium;Correct;0.25;Guided;Correct;Used;750;6
1;5;Forced;Easy;Correct;0.75;Guided;Correct;Used;251;5
