NumSuj;Explicability;Difficulty;Level of Automation;Correct Rates (in %)
28;Guided;Hard;Forced;75
29;Guided;Hard;Forced;75
30;Guided;Hard;Forced;75
31;Guided;Hard;Forced;75
32;Guided;Hard;Forced;75
33;Guided;Hard;Forced;75
34;Guided;Hard;Forced;75
35;Guided;Hard;Forced;75
36;Guided;Hard;Forced;75
37;Guided;Hard;Forced;75
38;Guided;Hard;Forced;75
39;Guided;Hard;Forced;75
1;UnGuided;Easy;Free;75
2;UnGuided;Easy;Free;97.2222
3;UnGuided;Easy;Free;75
4;UnGuided;Easy;Free;72.2222
5;UnGuided;Easy;Free;97.2222
6;UnGuided;Easy;Free;83.3333
7;UnGuided;Easy;Free;94.4444
8;UnGuided;Easy;Free;100
9;UnGuided;Easy;Free;100
10;UnGuided;Easy;Free;87.5
11;UnGuided;Easy;Free;97.2222
12;UnGuided;Easy;Free;94.4444
13;UnGuided;Easy;Free;91.6667
14;UnGuided;Easy;Free;86.1111
15;UnGuided;Easy;Free;88.8889
16;UnGuided;Easy;Free;100
17;UnGuided;Easy;Free;86.1111
18;UnGuided;Easy;Free;100
19;UnGuided;Easy;Free;97.2222
20;UnGuided;Easy;Free;97.2222
21;UnGuided;Easy;Free;88.8889
22;UnGuided;Easy;Free;91.6667
23;UnGuided;Easy;Free;91.6667
24;UnGuided;Easy;Free;97.2222
25;UnGuided;Easy;Free;97.2222
26;UnGuided;Easy;Free;94.4444
27;UnGuided;Easy;Free;94.4444
28;UnGuided;Easy;Free;100
29;UnGuided;Easy;Free;97.2222
30;UnGuided;Easy;Free;97.2222
31;UnGuided;Easy;Free;75
32;UnGuided;Easy;Free;100
33;UnGuided;Easy;Free;100
34;UnGuided;Easy;Free;91.6667
35;UnGuided;Easy;Free;97.2222
36;UnGuided;Easy;Free;88.8889
37;UnGuided;Easy;Free;91.6667
38;UnGuided;Easy;Free;94.4444
39;UnGuided;Easy;Free;88.8889
1;UnGuided;Medium;Free;66.6667
2;UnGuided;Medium;Free;88.8889
3;UnGuided;Medium;Free;66.6667
4;UnGuided;Medium;Free;63.8889
5;UnGuided;Medium;Free;91.6667
6;UnGuided;Medium;Free;69.4444
7;UnGuided;Medium;Free;83.3333
8;UnGuided;Medium;Free;94.4444
9;UnGuided;Medium;Free;83.3333
10;UnGuided;Medium;Free;75
11;UnGuided;Medium;Free;88.8889
12;UnGuided;Medium;Free;91.6667
13;UnGuided;Medium;Free;80.5556
14;UnGuided;Medium;Free;80.5556
15;UnGuided;Medium;Free;66.6667
16;UnGuided;Medium;Free;83.3333
17;UnGuided;Medium;Free;58.3333
18;UnGuided;Medium;Free;75
19;UnGuided;Medium;Free;80.5556
20;UnGuided;Medium;Free;97.2222
21;UnGuided;Medium;Free;91.6667
22;UnGuided;Medium;Free;94.4444
23;UnGuided;Medium;Free;80.5556
24;UnGuided;Medium;Free;83.3333
25;UnGuided;Medium;Free;97.2222
26;UnGuided;Medium;Free;69.4444
27;UnGuided;Medium;Free;66.6667
28;UnGuided;Medium;Free;86.1111
29;UnGuided;Medium;Free;97.2222
30;UnGuided;Medium;Free;94.4444
31;UnGuided;Medium;Free;77.7778
32;UnGuided;Medium;Free;97.2222
33;UnGuided;Medium;Free;100
34;UnGuided;Medium;Free;86.1111
35;UnGuided;Medium;Free;86.1111
36;UnGuided;Medium;Free;72.2222
37;UnGuided;Medium;Free;86.1111
38;UnGuided;Medium;Free;80.5556
39;UnGuided;Medium;Free;83.3333
1;UnGuided;Hard;Free;63.8889
2;UnGuided;Hard;Free;69.4444
3;UnGuided;Hard;Free;52.7778
4;UnGuided;Hard;Free;44.4444
5;UnGuided;Hard;Free;72.2222
6;UnGuided;Hard;Free;66.6667
7;UnGuided;Hard;Free;75
8;UnGuided;Hard;Free;63.8889
9;UnGuided;Hard;Free;69.4444
10;UnGuided;Hard;Free;62.5
11;UnGuided;Hard;Free;91.6667
12;UnGuided;Hard;Free;50
13;UnGuided;Hard;Free;66.6667
14;UnGuided;Hard;Free;50
